Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
50,process_0,0,7,7
50,process_1,5,6,1
50,process_2,10,11,1
50,process_3,15,18,3
50,process_4,20,28,8
50,process_5,25,29,4
50,process_6,30,33,3
50,process_7,35,44,9
50,process_8,40,41,1
50,process_9,45,47,2
50,process_10,50,52,2
50,process_11,55,61,6
50,process_12,60,63,3
50,process_13,65,73,8
50,process_14,70,79,9
50,process_15,75,80,5
50,process_16,80,89,9
50,process_17,85,87,2
50,process_18,90,98,8
50,process_19,95,104,9
50,process_20,100,109,9
50,process_21,105,111,6
50,process_22,110,113,3
50,process_23,115,121,6
50,process_24,120,125,5
50,process_25,125,126,1
50,process_26,130,139,9
50,process_27,135,139,4
50,process_28,140,144,4
50,process_29,145,146,1
50,process_30,150,151,1
50,process_31,155,159,4
50,process_32,160,166,6
50,process_33,165,171,6
50,process_34,170,177,7
50,process_35,175,178,3
50,process_36,180,182,2
50,process_37,185,192,7
50,process_38,190,195,5
50,process_39,195,202,7
50,process_40,200,203,3
50,process_41,205,209,4
50,process_42,210,214,4
50,process_43,215,218,3
50,process_44,220,229,9
50,process_45,225,233,8
50,process_46,230,231,1
50,process_47,235,237,2
50,process_48,240,246,6
50,process_49,245,247,2
