Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
200,process_0,0,1,1
200,process_1,1,10,9
200,process_2,2,9,7
200,process_3,3,9,6
200,process_4,4,7,3
200,process_5,5,9,4
200,process_6,6,10,4
200,process_7,7,12,5
200,process_8,8,16,8
200,process_9,9,11,2
200,process_10,10,13,3
200,process_11,11,16,5
200,process_12,12,13,1
200,process_13,13,18,5
200,process_14,14,17,3
200,process_15,15,17,2
200,process_16,16,19,3
200,process_17,17,20,3
200,process_18,18,19,1
200,process_19,19,22,3
200,process_20,20,28,8
200,process_21,21,24,3
200,process_22,22,26,4
200,process_23,23,25,2
200,process_24,24,30,6
200,process_25,25,34,9
200,process_26,26,33,7
200,process_27,27,35,8
200,process_28,28,35,7
200,process_29,29,36,7
200,process_30,30,38,8
200,process_31,31,37,6
200,process_32,32,39,7
200,process_33,33,42,9
200,process_34,34,40,6
200,process_35,35,42,7
200,process_36,36,37,1
200,process_37,37,45,8
200,process_38,38,46,8
200,process_39,39,43,4
200,process_40,40,49,9
200,process_41,41,43,2
200,process_42,42,45,3
200,process_43,43,51,8
200,process_44,44,48,4
200,process_45,45,46,1
200,process_46,46,49,3
200,process_47,47,54,7
200,process_48,48,55,7
200,process_49,49,58,9
200,process_50,50,52,2
200,process_51,51,52,1
200,process_52,52,55,3
200,process_53,53,55,2
200,process_54,54,59,5
200,process_55,55,59,4
200,process_56,56,57,1
200,process_57,57,62,5
200,process_58,58,59,1
200,process_59,59,62,3
200,process_60,60,61,1
200,process_61,61,63,2
200,process_62,62,66,4
200,process_63,63,71,8
200,process_64,64,65,1
200,process_65,65,68,3
200,process_66,66,74,8
200,process_67,67,76,9
200,process_68,68,74,6
200,process_69,69,75,6
200,process_70,70,75,5
200,process_71,71,80,9
200,process_72,72,74,2
200,process_73,73,81,8
200,process_74,74,76,2
200,process_75,75,77,2
200,process_76,76,85,9
200,process_77,77,85,8
200,process_78,78,82,4
200,process_79,79,83,4
200,process_80,80,89,9
200,process_81,81,85,4
200,process_82,82,83,1
200,process_83,83,87,4
200,process_84,84,93,9
200,process_85,85,91,6
200,process_86,86,87,1
200,process_87,87,95,8
200,process_88,88,93,5
200,process_89,89,94,5
200,process_90,90,96,6
200,process_91,91,99,8
200,process_92,92,97,5
200,process_93,93,94,1
200,process_94,94,100,6
200,process_95,95,103,8
200,process_96,96,104,8
200,process_97,97,106,9
200,process_98,98,101,3
200,process_99,99,105,6
200,process_100,100,102,2
200,process_101,101,107,6
200,process_102,102,109,7
200,process_103,103,107,4
200,process_104,104,108,4
200,process_105,105,110,5
200,process_106,106,108,2
200,process_107,107,112,5
200,process_108,108,112,4
200,process_109,109,111,2
200,process_110,110,118,8
200,process_111,111,116,5
200,process_112,112,120,8
200,process_113,113,122,9
200,process_114,114,122,8
200,process_115,115,122,7
200,process_116,116,122,6
200,process_117,117,126,9
200,process_118,118,119,1
200,process_119,119,128,9
200,process_120,120,126,6
200,process_121,121,125,4
200,process_122,122,127,5
200,process_123,123,130,7
200,process_124,124,132,8
200,process_125,125,128,3
200,process_126,126,131,5
200,process_127,127,131,4
200,process_128,128,131,3
200,process_129,129,130,1
200,process_130,130,135,5
200,process_131,131,133,2
200,process_132,132,135,3
200,process_133,133,136,3
200,process_134,134,135,1
200,process_135,135,136,1
200,process_136,136,143,7
200,process_137,137,145,8
200,process_138,138,141,3
200,process_139,139,145,6
200,process_140,140,146,6
200,process_141,141,142,1
200,process_142,142,149,7
200,process_143,143,148,5
200,process_144,144,153,9
200,process_145,145,154,9
200,process_146,146,148,2
200,process_147,147,150,3
200,process_148,148,149,1
200,process_149,149,152,3
200,process_150,150,155,5
200,process_151,151,155,4
200,process_152,152,157,5
200,process_153,153,154,1
200,process_154,154,163,9
200,process_155,155,160,5
200,process_156,156,162,6
200,process_157,157,159,2
200,process_158,158,161,3
200,process_159,159,163,4
200,process_160,160,164,4
200,process_161,161,169,8
200,process_162,162,167,5
200,process_163,163,164,1
200,process_164,164,168,4
200,process_165,165,171,6
200,process_166,166,167,1
200,process_167,167,169,2
200,process_168,168,176,8
200,process_169,169,176,7
200,process_170,170,175,5
200,process_171,171,178,7
200,process_172,172,180,8
200,process_173,173,175,2
200,process_174,174,176,2
200,process_175,175,184,9
200,process_176,176,177,1
200,process_177,177,184,7
200,process_178,178,187,9
200,process_179,179,188,9
200,process_180,180,182,2
200,process_181,181,187,6
200,process_182,182,190,8
200,process_183,183,190,7
200,process_184,184,187,3
200,process_185,185,190,5
200,process_186,186,192,6
200,process_187,187,191,4
200,process_188,188,193,5
200,process_189,189,192,3
200,process_190,190,199,9
200,process_191,191,194,3
200,process_192,192,201,9
200,process_193,193,198,5
200,process_194,194,198,4
200,process_195,195,197,2
200,process_196,196,205,9
200,process_197,197,206,9
200,process_198,198,202,4
200,process_199,199,202,3
