Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
150,process_0,0,1,1
150,process_1,1,7,6
150,process_2,2,8,6
150,process_3,3,6,3
150,process_4,4,5,1
150,process_5,5,12,7
150,process_6,6,8,2
150,process_7,7,9,2
150,process_8,8,13,5
150,process_9,9,17,8
150,process_10,10,19,9
150,process_11,11,19,8
150,process_12,12,15,3
150,process_13,13,19,6
150,process_14,14,16,2
150,process_15,15,21,6
150,process_16,16,21,5
150,process_17,17,25,8
150,process_18,18,25,7
150,process_19,19,24,5
150,process_20,20,22,2
150,process_21,21,27,6
150,process_22,22,25,3
150,process_23,23,27,4
150,process_24,24,27,3
150,process_25,25,26,1
150,process_26,26,34,8
150,process_27,27,31,4
150,process_28,28,33,5
150,process_29,29,35,6
150,process_30,30,36,6
150,process_31,31,33,2
150,process_32,32,35,3
150,process_33,33,37,4
150,process_34,34,38,4
150,process_35,35,41,6
150,process_36,36,41,5
150,process_37,37,44,7
150,process_38,38,43,5
150,process_39,39,48,9
150,process_40,40,45,5
150,process_41,41,46,5
150,process_42,42,51,9
150,process_43,43,52,9
150,process_44,44,51,7
150,process_45,45,51,6
150,process_46,46,50,4
150,process_47,47,48,1
150,process_48,48,52,4
150,process_49,49,50,1
150,process_50,50,58,8
150,process_51,51,54,3
150,process_52,52,57,5
150,process_53,53,55,2
150,process_54,54,58,4
150,process_55,55,58,3
150,process_56,56,57,1
150,process_57,57,61,4
150,process_58,58,59,1
150,process_59,59,65,6
150,process_60,60,61,1
150,process_61,61,65,4
150,process_62,62,71,9
150,process_63,63,66,3
150,process_64,64,73,9
150,process_65,65,74,9
150,process_66,66,68,2
150,process_67,67,70,3
150,process_68,68,74,6
150,process_69,69,70,1
150,process_70,70,77,7
150,process_71,71,80,9
150,process_72,72,73,1
150,process_73,73,75,2
150,process_74,74,79,5
150,process_75,75,76,1
150,process_76,76,81,5
150,process_77,77,81,4
150,process_78,78,85,7
150,process_79,79,80,1
150,process_80,80,87,7
150,process_81,81,87,6
150,process_82,82,85,3
150,process_83,83,88,5
150,process_84,84,90,6
150,process_85,85,86,1
150,process_86,86,89,3
150,process_87,87,90,3
150,process_88,88,90,2
150,process_89,89,91,2
150,process_90,90,99,9
150,process_91,91,97,6
150,process_92,92,100,8
150,process_93,93,94,1
150,process_94,94,103,9
150,process_95,95,100,5
150,process_96,96,100,4
150,process_97,97,101,4
150,process_98,98,100,2
150,process_99,99,103,4
150,process_100,100,102,2
150,process_101,101,102,1
150,process_102,102,107,5
150,process_103,103,111,8
150,process_104,104,106,2
150,process_105,105,106,1
150,process_106,106,111,5
150,process_107,107,110,3
150,process_108,108,112,4
150,process_109,109,117,8
150,process_110,110,112,2
150,process_111,111,112,1
150,process_112,112,121,9
150,process_113,113,114,1
150,process_114,114,123,9
150,process_115,115,119,4
150,process_116,116,121,5
150,process_117,117,122,5
150,process_118,118,123,5
150,process_119,119,120,1
150,process_120,120,121,1
150,process_121,121,125,4
150,process_122,122,125,3
150,process_123,123,128,5
150,process_124,124,131,7
150,process_125,125,134,9
150,process_126,126,129,3
150,process_127,127,135,8
150,process_128,128,134,6
150,process_129,129,137,8
150,process_130,130,135,5
150,process_131,131,138,7
150,process_132,132,137,5
150,process_133,133,134,1
150,process_134,134,135,1
150,process_135,135,139,4
150,process_136,136,138,2
150,process_137,137,145,8
150,process_138,138,143,5
150,process_139,139,142,3
150,process_140,140,143,3
150,process_141,141,148,7
150,process_142,142,146,4
150,process_143,143,150,7
150,process_144,144,152,8
150,process_145,145,154,9
150,process_146,146,153,7
150,process_147,147,150,3
150,process_148,148,149,1
150,process_149,149,155,6
