Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
400,process_0,0,3,3
400,process_0,0,7,7
400,process_1,1,4,3
400,process_1,1,5,4
400,process_2,2,4,2
400,process_2,2,7,5
400,process_3,3,6,3
400,process_3,3,10,7
400,process_4,4,7,3
400,process_4,4,7,3
400,process_5,5,12,7
400,process_5,5,12,7
400,process_6,6,14,8
400,process_6,6,15,9
400,process_7,7,9,2
400,process_7,7,16,9
400,process_8,8,9,1
400,process_8,8,13,5
400,process_9,9,12,3
400,process_9,9,16,7
400,process_10,10,15,5
400,process_10,10,19,9
400,process_11,11,20,9
400,process_11,11,20,9
400,process_12,12,20,8
400,process_12,12,21,9
400,process_13,13,18,5
400,process_13,13,19,6
400,process_14,14,17,3
400,process_14,14,18,4
400,process_15,15,16,1
400,process_15,15,18,3
400,process_16,16,17,1
400,process_16,16,17,1
400,process_17,17,26,9
400,process_17,17,19,2
400,process_18,18,19,1
400,process_18,18,27,9
400,process_19,19,24,5
400,process_19,19,21,2
400,process_20,20,22,2
400,process_20,20,29,9
400,process_21,21,25,4
400,process_21,21,22,1
400,process_22,22,31,9
400,process_22,22,24,2
400,process_23,23,32,9
400,process_23,23,28,5
400,process_24,24,28,4
400,process_24,24,29,5
400,process_25,25,33,8
400,process_25,25,33,8
400,process_26,26,32,6
400,process_26,26,30,4
400,process_27,27,28,1
400,process_27,27,28,1
400,process_28,28,35,7
400,process_28,28,35,7
400,process_29,29,35,6
400,process_29,29,34,5
400,process_30,30,34,4
400,process_30,30,33,3
400,process_31,31,33,2
400,process_31,31,38,7
400,process_32,32,33,1
400,process_32,32,33,1
400,process_33,33,36,3
400,process_33,33,38,5
400,process_34,34,39,5
400,process_34,34,36,2
400,process_35,35,41,6
400,process_35,35,37,2
400,process_36,36,39,3
400,process_36,36,42,6
400,process_37,37,42,5
400,process_37,37,44,7
400,process_38,38,46,8
400,process_38,38,42,4
400,process_39,39,41,2
400,process_39,39,44,5
400,process_40,40,43,3
400,process_40,40,47,7
400,process_41,41,42,1
400,process_41,41,43,2
400,process_42,42,48,6
400,process_42,42,51,9
400,process_43,43,51,8
400,process_43,43,45,2
400,process_44,44,49,5
400,process_44,44,50,6
400,process_45,45,49,4
400,process_45,45,50,5
400,process_46,46,47,1
400,process_46,46,52,6
400,process_47,47,48,1
400,process_47,47,53,6
400,process_48,48,52,4
400,process_48,48,53,5
400,process_49,49,51,2
400,process_49,49,52,3
400,process_50,50,58,8
400,process_50,50,51,1
400,process_51,51,55,4
400,process_51,51,52,1
400,process_52,52,61,9
400,process_52,52,54,2
400,process_53,53,58,5
400,process_53,53,60,7
400,process_54,54,63,9
400,process_54,54,57,3
400,process_55,55,63,8
400,process_55,55,56,1
400,process_56,56,63,7
400,process_56,56,61,5
400,process_57,57,59,2
400,process_57,57,58,1
400,process_58,58,66,8
400,process_58,58,62,4
400,process_59,59,61,2
400,process_59,59,64,5
400,process_60,60,69,9
400,process_60,60,69,9
400,process_61,61,62,1
400,process_61,61,65,4
400,process_62,62,70,8
400,process_62,62,69,7
400,process_63,63,68,5
400,process_63,63,67,4
400,process_64,64,70,6
400,process_64,64,72,8
400,process_65,65,69,4
400,process_65,65,66,1
400,process_66,66,74,8
400,process_66,66,67,1
400,process_67,67,75,8
400,process_67,67,68,1
400,process_68,68,75,7
400,process_68,68,76,8
400,process_69,69,71,2
400,process_69,69,72,3
400,process_70,70,71,1
400,process_70,70,71,1
400,process_71,71,77,6
400,process_71,71,80,9
400,process_72,72,76,4
400,process_72,72,77,5
400,process_73,73,75,2
400,process_73,73,75,2
400,process_74,74,75,1
400,process_74,74,75,1
400,process_75,75,83,8
400,process_75,75,81,6
400,process_76,76,81,5
400,process_76,76,80,4
400,process_77,77,84,7
400,process_77,77,85,8
400,process_78,78,87,9
400,process_78,78,79,1
400,process_79,79,84,5
400,process_79,79,86,7
400,process_80,80,84,4
400,process_80,80,85,5
400,process_81,81,84,3
400,process_81,81,85,4
400,process_82,82,83,1
400,process_82,82,85,3
400,process_83,83,89,6
400,process_83,83,87,4
400,process_84,84,87,3
400,process_84,84,89,5
400,process_85,85,90,5
400,process_85,85,92,7
400,process_86,86,95,9
400,process_86,86,90,4
400,process_87,87,91,4
400,process_87,87,91,4
400,process_88,88,89,1
400,process_88,88,93,5
400,process_89,89,91,2
400,process_89,89,91,2
400,process_90,90,97,7
400,process_90,90,98,8
400,process_91,91,94,3
400,process_91,91,100,9
400,process_92,92,101,9
400,process_92,92,98,6
400,process_93,93,94,1
400,process_93,93,98,5
400,process_94,94,103,9
400,process_94,94,96,2
400,process_95,95,101,6
400,process_95,95,98,3
400,process_96,96,105,9
400,process_96,96,102,6
400,process_97,97,106,9
400,process_97,97,103,6
