Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
100,process_0,0,5,5
100,process_1,1,7,6
100,process_2,2,5,3
100,process_3,3,6,3
100,process_4,4,7,3
100,process_5,5,8,3
100,process_6,6,15,9
100,process_7,7,14,7
100,process_8,8,11,3
100,process_9,9,15,6
100,process_10,10,19,9
100,process_11,11,14,3
100,process_12,12,18,6
100,process_13,13,19,6
100,process_14,14,18,4
100,process_15,15,22,7
100,process_16,16,23,7
100,process_17,17,21,4
100,process_18,18,27,9
100,process_19,19,28,9
100,process_20,20,28,8
100,process_21,21,29,8
100,process_22,22,24,2
100,process_23,23,31,8
100,process_24,24,29,5
100,process_25,25,28,3
100,process_26,26,35,9
100,process_27,27,32,5
100,process_28,28,35,7
100,process_29,29,32,3
100,process_30,30,31,1
100,process_31,31,39,8
100,process_32,32,33,1
100,process_33,33,38,5
100,process_34,34,36,2
100,process_35,35,37,2
100,process_36,36,38,2
100,process_37,37,44,7
100,process_38,38,44,6
100,process_39,39,47,8
100,process_40,40,43,3
100,process_41,41,48,7
100,process_42,42,49,7
100,process_43,43,47,4
100,process_44,44,45,1
100,process_45,45,48,3
100,process_46,46,53,7
100,process_47,47,55,8
100,process_48,48,56,8
100,process_49,49,53,4
100,process_50,50,54,4
100,process_51,51,57,6
100,process_52,52,57,5
100,process_53,53,59,6
100,process_54,54,62,8
100,process_55,55,58,3
100,process_56,56,63,7
100,process_57,57,60,3
100,process_58,58,64,6
100,process_59,59,65,6
100,process_60,60,68,8
100,process_61,61,67,6
100,process_62,62,66,4
100,process_63,63,70,7
100,process_64,64,70,6
100,process_65,65,69,4
100,process_66,66,70,4
100,process_67,67,69,2
100,process_68,68,76,8
100,process_69,69,75,6
100,process_70,70,75,5
100,process_71,71,77,6
100,process_72,72,75,3
100,process_73,73,76,3
100,process_74,74,79,5
100,process_75,75,81,6
100,process_76,76,82,6
100,process_77,77,85,8
100,process_78,78,81,3
100,process_79,79,88,9
100,process_80,80,87,7
100,process_81,81,90,9
100,process_82,82,88,6
100,process_83,83,89,6
100,process_84,84,89,5
100,process_85,85,91,6
100,process_86,86,90,4
100,process_87,87,89,2
100,process_88,88,97,9
100,process_89,89,92,3
100,process_90,90,95,5
100,process_91,91,95,4
100,process_92,92,100,8
100,process_93,93,102,9
100,process_94,94,102,8
100,process_95,95,101,6
100,process_96,96,103,7
100,process_97,97,106,9
100,process_98,98,102,4
100,process_99,99,104,5
